CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Langres,FR,47.8333,5.3333,57.2,92,13,4.12,few clouds
126,Qaqortoq,GL,60.7167,-46.0333,37.78,83,100,10.67,overcast clouds
127,Rovaniemi,FI,66.5,25.7167,33.21,86,0,10.36,clear sky
128,Sretensk,RU,52.2453,117.7093,30.27,59,100,2.84,overcast clouds
129,Faanui,PF,-16.4833,-151.75,77.38,79,31,17.0,light rain
130,Broome,US,42.2506,-75.833,49.19,66,100,10.36,overcast clouds
131,Dingle,PH,10.9995,122.6711,76.32,92,96,3.24,overcast clouds
132,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,66.0,77,100,5.17,overcast clouds
133,Takaungu,KE,-3.6837,39.8566,77.49,85,3,12.53,clear sky
134,Jamestown,US,42.097,-79.2353,42.39,91,100,16.11,overcast clouds
135,Mattru,SL,7.6244,-11.8332,75.29,95,90,3.31,moderate rain
136,Tabou,CI,4.423,-7.3528,77.63,86,33,5.88,scattered clouds
137,Orlovskiy,RU,46.8714,42.0592,50.58,50,13,6.55,few clouds
138,Norman Wells,CA,65.282,-126.8329,40.05,92,58,3.18,broken clouds
139,Salalah,OM,17.0151,54.0924,77.09,65,0,4.61,clear sky
140,Vaini,TO,-21.2,-175.2,77.16,94,75,6.91,broken clouds
141,Hay River,CA,60.8156,-115.7999,49.98,62,40,10.36,scattered clouds
142,Amapa,BR,1.0,-52.0,80.26,73,100,1.97,overcast clouds
143,Karratha,AU,-20.7377,116.8463,73.13,72,0,6.73,clear sky
144,Bengkulu,ID,-3.8004,102.2655,75.2,90,100,4.45,moderate rain
145,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,40,25.32,scattered clouds
146,Nuevo Progreso,MX,23.1667,-97.95,67.46,76,100,25.52,overcast clouds
147,Hobart,AU,-42.8794,147.3294,52.05,73,100,4.61,overcast clouds
148,Miyazu,JP,35.5333,135.1833,53.56,72,54,8.59,broken clouds
149,Memaliaj,AL,40.3517,19.9803,61.0,54,0,2.82,clear sky
150,Tommot,RU,58.9564,126.2925,17.4,96,100,2.37,overcast clouds
151,Savonlinna,FI,61.8699,28.88,41.05,87,75,8.05,light intensity shower rain
152,Acapulco,MX,16.8634,-99.8901,85.82,70,100,4.61,light rain
153,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,100,11.5,light snow
154,Bredasdorp,ZA,-34.5322,20.0403,60.84,96,89,5.79,overcast clouds
155,East London,ZA,-33.0153,27.9116,70.27,90,99,5.75,overcast clouds
156,Dori,BF,14.0354,-0.0345,92.25,14,10,6.6,clear sky
157,Jinchang,CN,38.4953,102.1739,50.31,27,0,4.29,clear sky
158,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,63.34,78,100,15.32,overcast clouds
159,Korsakov,RU,46.6328,142.7813,31.84,69,62,9.1,broken clouds
160,Gamba,GA,-2.65,10.0,77.72,85,100,9.31,overcast clouds
